car_directory,cars,total,cars_70,cars_90,brand,model,year,brand_and_model,span_years,gap,cars_brand_model,cars_brand_model_70
jaguar_xk_2010,111,208,109,99,jaguar,xk,2010,jaguar_xk,5,0,602,590
dacia_logan_2009,172,393,171,163,dacia,logan,2009,dacia_logan,13,0,1765,1747
nissan_x-trail_2014,76,208,76,73,nissan,x-trail,2014,nissan_x-trail,17,0,1930,1918
mercedes-benz_cla-220_2014,79,203,77,71,mercedes-benz,cla-220,2014,mercedes-benz_cla-220,6,0,528,519
nissan_nv200_2013,93,200,93,93,nissan,nv200,2013,nissan_nv200,8,0,950,943
volkswagen_caddy_2004,165,366,164,155,volkswagen,caddy,2004,volkswagen_caddy,18,0,1744,1711
bmw_318_2017,75,208,75,75,bmw,318,2017,bmw_318,18,0,2245,2216
ferrari_612_2005,119,282,119,112,ferrari,612,2005,ferrari_612,2,0,208,205
alfa-romeo_giulietta_2013,76,220,76,74,alfa-romeo,giulietta,2013,alfa-romeo_giulietta,9,0,1087,1065
skoda_citigo_2015,90,246,88,86,skoda,citigo,2015,skoda_citigo,7,0,679,663
bmw_335_2015,124,287,122,119,bmw,335,2015,bmw_335,13,0,1583,1557
suzuki_alto_2003,131,267,129,127,suzuki,alto,2003,suzuki_alto,14,2,1277,1266
audi_q3_2013,100,238,98,98,audi,q3,2013,audi_q3,8,0,810,798
opel_frontera_2001,75,162,73,70,opel,frontera,2001,opel_frontera,1,0,75,73
bmw_x5-m_2016,75,212,74,71,bmw,x5-m,2016,bmw_x5-m,6,0,526,521
toyota_prius_2017,123,268,121,120,toyota,prius,2017,toyota_prius,13,0,1405,1381
volkswagen_jetta_2015,90,234,90,87,volkswagen,jetta,2015,volkswagen_jetta,12,0,1466,1448
suzuki_ignis_2004,191,366,190,186,suzuki,ignis,2004,suzuki_ignis,18,8,1052,1045
mercedes-benz_a-220_2013,100,223,99,96,mercedes-benz,a-220,2013,mercedes-benz_a-220,6,0,598,586
mercedes-benz_b-220_2014,100,248,98,97,mercedes-benz,b-220,2014,mercedes-benz_b-220,5,0,476,464
bmw_i3_2015,101,281,100,97,bmw,i3,2015,bmw_i3,5,0,455,448
kia_carnival_2003,150,341,148,147,kia,carnival,2003,kia_carnival,7,0,849,839
citroen_c5_2015,84,262,82,77,citroen,c5,2015,citroen_c5,18,0,2278,2247
audi_s5_2011,111,248,110,107,audi,s5,2011,audi_s5,12,0,1420,1381
toyota_prius_2010,93,230,92,89,toyota,prius,2010,toyota_prius,13,0,1405,1381
volkswagen_touran_2005,169,373,169,164,volkswagen,touran,2005,volkswagen_touran,16,0,1878,1863
mini_cooper-cabrio_2011,99,210,99,92,mini,cooper-cabrio,2011,mini_cooper-cabrio,14,0,1839,1803
nissan_micra_2014,112,228,112,111,nissan,micra,2014,nissan_micra,18,0,2167,2149
mercedes-benz_a-180_2017,100,279,96,93,mercedes-benz,a-180,2017,mercedes-benz_a-180,15,0,1746,1715
volkswagen_polo_2017,104,258,102,96,volkswagen,polo,2017,volkswagen_polo,18,0,2069,2043
fiat_ducato_2014,67,204,66,55,fiat,ducato,2014,fiat_ducato,18,0,1820,1739
ferrari_458_2016,74,172,73,69,ferrari,458,2016,ferrari_458,7,0,866,837
alfa-romeo_giulietta_2012,184,432,180,175,alfa-romeo,giulietta,2012,alfa-romeo_giulietta,9,0,1087,1065
volkswagen_passat-variant_2008,120,234,118,114,volkswagen,passat-variant,2008,volkswagen_passat-variant,18,0,1952,1929
opel_movano_2006,58,142,56,52,opel,movano,2006,opel_movano,15,2,1386,1327
citroen_xsara_2004,133,275,132,127,citroen,xsara,2004,citroen_xsara,5,0,665,659
lancia_phedra_2004,90,204,87,84,lancia,phedra,2004,lancia_phedra,7,0,512,505
opel_meriva_2016,99,239,98,94,opel,meriva,2016,opel_meriva,16,0,1912,1871
land-rover_range-rover-sport_2015,129,290,127,120,land-rover,range-rover-sport,2015,land-rover_range-rover-sport,14,0,1567,1546
nissan_pixo_2009,113,246,112,107,nissan,pixo,2009,nissan_pixo,5,0,592,584
volkswagen_passat_2011,120,236,120,118,volkswagen,passat,2011,volkswagen_passat,18,0,2009,1979
maserati_3200_2001,102,224,101,96,maserati,3200,2001,maserati_3200,1,0,102,101
lancia_musa_2005,161,392,161,158,lancia,musa,2005,lancia_musa,9,0,1156,1138
mercedes-benz_cls-250_2014,97,229,95,91,mercedes-benz,cls-250,2014,mercedes-benz_cls-250,7,0,709,694
volkswagen_golf_2018,62,222,60,59,volkswagen,golf,2018,volkswagen_golf,18,0,2748,2694
hyundai_i10_2014,96,243,96,95,hyundai,i10,2014,hyundai_i10,11,0,1379,1370
fiat_ducato_2008,147,384,139,125,fiat,ducato,2008,fiat_ducato,18,0,1820,1739
ford_fusion_2005,172,369,171,170,ford,fusion,2005,ford_fusion,10,0,1188,1182
skoda_roomster_2014,104,287,103,100,skoda,roomster,2014,skoda_roomster,9,0,908,901
mercedes-benz_sl-55-amg_2004,120,238,119,117,mercedes-benz,sl-55-amg,2004,mercedes-benz_sl-55-amg,4,0,514,501
opel_gt_2009,120,205,116,107,opel,gt,2009,opel_gt,3,0,365,352
mercedes-benz_viano_2013,162,456,158,154,mercedes-benz,viano,2013,mercedes-benz_viano,12,0,1275,1257
mercedes-benz_c-250_2015,100,264,100,92,mercedes-benz,c-250,2015,mercedes-benz_c-250,10,0,1126,1112
volkswagen_new-beetle_2006,191,361,183,170,volkswagen,new-beetle,2006,volkswagen_new-beetle,13,1,1820,1770
citroen_ds4_2018,85,230,82,77,citroen,ds4,2018,citroen_ds4,8,0,837,823
land-rover_discovery_2002,129,274,123,111,land-rover,discovery,2002,land-rover_discovery,18,0,1966,1922
ford_streetka_2004,110,214,109,107,ford,streetka,2004,ford_streetka,4,0,555,543
dodge_ram_2008,63,111,60,58,dodge,ram,2008,dodge_ram,16,0,2077,2025
kia_cee'd_2016,111,253,108,104,kia,cee'd,2016,kia_cee'd,12,0,1391,1375
chrysler_voyager_2002,85,202,82,76,chrysler,voyager,2002,chrysler_voyager,8,0,848,838
citroen_ds4_2012,180,429,177,174,citroen,ds4,2012,citroen_ds4,8,0,837,823
suzuki_jimny_2015,139,300,136,129,suzuki,jimny,2015,suzuki_jimny,18,0,2602,2499
mercedes-benz_c-63-amg_2009,100,223,100,94,mercedes-benz,c-63-amg,2009,mercedes-benz_c-63-amg,11,0,1271,1240
mazda_5_2008,122,235,120,116,mazda,5,2008,mazda_5,11,0,1118,1110
fiat_new-panda_2013,87,205,87,83,fiat,new-panda,2013,fiat_new-panda,6,0,782,773
nissan_cabstar_2008,40,109,39,37,nissan,cabstar,2008,nissan_cabstar,1,0,40,39
audi_a1_2014,91,227,89,84,audi,a1,2014,audi_a1,9,0,1012,1003
suzuki_baleno_2016,90,256,90,89,suzuki,baleno,2016,suzuki_baleno,3,0,296,290
seat_exeo_2009,167,389,167,167,seat,exeo,2009,seat_exeo,6,0,616,609
mercedes-benz_a-180_2015,96,255,95,89,mercedes-benz,a-180,2015,mercedes-benz_a-180,15,0,1746,1715
bmw_630_2017,80,235,79,76,bmw,630,2017,bmw_630,14,8,637,629
mercedes-benz_180_2016,78,223,76,76,mercedes-benz,180,2016,mercedes-benz_180,8,0,734,727
mercedes-benz_e-63-amg_2017,81,277,80,69,mercedes-benz,e-63-amg,2017,mercedes-benz_e-63-amg,12,2,1010,984
ford_mondeo_2010,80,220,78,77,ford,mondeo,2010,ford_mondeo,18,0,2086,2064
seat_altea_2007,81,210,80,78,seat,altea,2007,seat_altea,12,0,1289,1272
dacia_duster_2010,182,425,181,178,dacia,duster,2010,dacia_duster,9,0,1396,1383
infiniti_qx70_2014,91,243,89,87,infiniti,qx70,2014,infiniti_qx70,4,0,338,334
iveco_daily_2017,80,200,72,62,iveco,daily,2017,iveco_daily,18,0,1886,1725
mercedes-benz_s-500_2001,103,226,102,91,mercedes-benz,s-500,2001,mercedes-benz_s-500,18,0,1870,1824
renault_trafic_2010,83,208,77,72,renault,trafic,2010,renault_trafic,16,0,1878,1845
volkswagen_caddy_2014,81,256,81,76,volkswagen,caddy,2014,volkswagen_caddy,18,0,1744,1711
mercedes-benz_a-220_2017,81,209,79,77,mercedes-benz,a-220,2017,mercedes-benz_a-220,6,0,598,586
chevrolet_spark_2011,91,210,90,89,chevrolet,spark,2011,chevrolet_spark,5,0,631,621
citroen_ds4_2015,87,250,87,87,citroen,ds4,2015,citroen_ds4,8,0,837,823
citroen_ds5_2016,77,265,76,73,citroen,ds5,2016,citroen_ds5,7,0,611,602
hyundai_i30_2018,116,240,114,110,hyundai,i30,2018,hyundai_i30,12,0,1311,1291
mercedes-benz_glk-350_2009,89,207,86,82,mercedes-benz,glk-350,2009,mercedes-benz_glk-350,7,0,676,667
suzuki_jimny_2002,101,186,100,92,suzuki,jimny,2002,suzuki_jimny,18,0,2602,2499
opel_vivaro_2014,94,223,93,92,opel,vivaro,2014,opel_vivaro,16,0,1726,1682
nissan_note_2015,99,250,98,96,nissan,note,2015,nissan_note,13,0,1270,1262
bmw_x6_2016,99,244,99,98,bmw,x6,2016,bmw_x6,11,0,1209,1201
hummer_h3_2007,78,180,77,72,hummer,h3,2007,hummer_h3,3,0,253,244
land-rover_discovery_2016,115,282,112,106,land-rover,discovery,2016,land-rover_discovery,18,0,1966,1922
subaru_xv_2015,104,239,102,102,subaru,xv,2015,subaru_xv,7,0,725,719
chevrolet_nubira_2006,110,219,107,103,chevrolet,nubira,2006,chevrolet_nubira,4,0,421,414
bmw_328_2012,102,234,100,95,bmw,328,2012,bmw_328,16,10,489,478
mercedes-benz_s-63-amg_2014,117,268,110,102,mercedes-benz,s-63-amg,2014,mercedes-benz_s-63-amg,5,0,532,505
citroen_c4-cactus_2018,79,258,77,74,citroen,c4-cactus,2018,citroen_c4-cactus,5,0,529,522
mercedes-benz_slk-200_2002,192,355,184,178,mercedes-benz,slk-200,2002,mercedes-benz_slk-200,15,0,2178,2119
mercedes-benz_r-280_2008,85,198,84,77,mercedes-benz,r-280,2008,mercedes-benz_r-280,2,0,154,152
mercedes-benz_c-320_2008,90,220,89,88,mercedes-benz,c-320,2008,mercedes-benz_c-320,9,2,792,789
mercedes-benz_clk-320_2006,178,344,177,165,mercedes-benz,clk-320,2006,mercedes-benz_clk-320,8,0,1083,1064
renault_alaskan_2018,99,245,97,93,renault,alaskan,2018,renault_alaskan,2,0,206,204
kia_rio_2013,113,259,111,106,kia,rio,2013,kia_rio,17,0,1962,1936
audi_a1_2017,69,200,69,68,audi,a1,2017,audi_a1,9,0,1012,1003
mercedes-benz_cla-220_2016,79,216,79,77,mercedes-benz,cla-220,2016,mercedes-benz_cla-220,6,0,528,519
bmw_435_2017,90,200,88,84,bmw,435,2017,bmw_435,4,0,418,410
volkswagen_polo-cross_2008,92,196,92,92,volkswagen,polo-cross,2008,volkswagen_polo-cross,11,1,927,917
audi_a4_2012,81,188,81,79,audi,a4,2012,audi_a4,18,0,1589,1549
seat_leon_2011,107,215,107,102,seat,leon,2011,seat_leon,18,0,2467,2426
mercedes-benz_s-350_2005,115,246,111,108,mercedes-benz,s-350,2005,mercedes-benz_s-350,14,0,1350,1318
bmw_116_2014,107,295,105,102,bmw,116,2014,bmw_116,15,0,1967,1924
mazda_5_2010,86,242,85,79,mazda,5,2010,mazda_5,11,0,1118,1110
mercedes-benz_s-500_2011,106,279,106,104,mercedes-benz,s-500,2011,mercedes-benz_s-500,18,0,1870,1824
seat_altea-xl_2007,80,231,78,78,seat,altea-xl,2007,seat_altea-xl,10,0,1025,1013
mercedes-benz_a-250_2018,69,258,65,63,mercedes-benz,a-250,2018,mercedes-benz_a-250,6,0,676,656
mitsubishi_grandis_2008,73,179,72,70,mitsubishi,grandis,2008,mitsubishi_grandis,4,0,381,372
bmw_i8_2014,109,238,109,104,bmw,i8,2014,bmw_i8,5,0,521,507
fiat_500_2007,149,334,147,140,fiat,500,2007,fiat_500,12,0,1525,1507
mitsubishi_asx_2013,103,237,102,101,mitsubishi,asx,2013,mitsubishi_asx,9,0,947,933
kia_sportage_2010,102,267,100,99,kia,sportage,2010,kia_sportage,18,3,1485,1472
mini_cooper_2016,128,297,125,117,mini,cooper,2016,mini_cooper,18,0,2601,2552
mercedes-benz_viano_2012,86,211,86,79,mercedes-benz,viano,2012,mercedes-benz_viano,12,0,1275,1257
citroen_ds4_2011,80,208,77,73,citroen,ds4,2011,citroen_ds4,8,0,837,823
mitsubishi_pajero-sport_2003,65,134,64,57,mitsubishi,pajero-sport,2003,mitsubishi_pajero-sport,2,0,139,138
mercedes-benz_180_2011,108,222,108,107,mercedes-benz,180,2011,mercedes-benz_180,8,0,734,727
renault_grand-scenic_2006,99,245,99,97,renault,grand-scenic,2006,renault_grand-scenic,15,0,1710,1701
renault_grand-espace_2014,86,210,84,83,renault,grand-espace,2014,renault_grand-espace,12,0,1201,1183
mazda_6_2011,162,411,158,153,mazda,6,2011,mazda_6,17,0,1892,1874
volkswagen_t5-multivan_2012,92,238,92,87,volkswagen,t5-multivan,2012,volkswagen_t5-multivan,13,0,1230,1215
skoda_citigo_2014,85,201,84,83,skoda,citigo,2014,skoda_citigo,7,0,679,663
opel_adam_2014,124,239,122,120,opel,adam,2014,opel_adam,6,0,675,663
iveco_daily_2012,160,379,148,128,iveco,daily,2012,iveco_daily,18,0,1886,1725
dacia_logan_2018,104,254,101,96,dacia,logan,2018,dacia_logan,13,0,1765,1747
seat_ibiza_2003,135,295,133,129,seat,ibiza,2003,seat_ibiza,18,0,2393,2356
honda_accord_2008,113,239,112,111,honda,accord,2008,honda_accord,14,1,1360,1345
citroen_berlingo_2014,91,220,89,85,citroen,berlingo,2014,citroen_berlingo,18,0,2269,2224
seat_ibiza_2017,106,264,104,101,seat,ibiza,2017,seat_ibiza,18,0,2393,2356
porsche_boxster_2018,114,272,102,90,porsche,boxster,2018,porsche_boxster,18,0,2389,2329
renault_koleos_2011,76,218,75,72,renault,koleos,2011,renault_koleos,11,1,869,861
jeep_cherokee_2003,145,318,143,136,jeep,cherokee,2003,jeep_cherokee,18,1,1769,1738
volkswagen_new-beetle_2013,104,236,102,98,volkswagen,new-beetle,2013,volkswagen_new-beetle,13,1,1820,1770
bmw_530_2006,146,339,143,137,bmw,530,2006,bmw_530,18,0,1958,1919
mercedes-benz_e-400_2014,105,277,103,99,mercedes-benz,e-400,2014,mercedes-benz_e-400,5,0,516,496
ford_f-150_2014,126,277,123,116,ford,f-150,2014,ford_f-150,8,2,683,668
bmw_550_2014,97,296,97,92,bmw,550,2014,bmw_550,8,0,839,823
audi_q2_2017,105,264,104,99,audi,q2,2017,audi_q2,3,0,347,345
ford_focus-c-max_2007,166,395,165,161,ford,focus-c-max,2007,ford_focus-c-max,6,0,687,682
bmw_525_2001,121,256,119,112,bmw,525,2001,bmw_525,18,0,1912,1883
bmw_z3_2001,107,236,104,99,bmw,z3,2001,bmw_z3,3,0,254,246
ford_cougar_2001,47,94,47,44,ford,cougar,2001,ford_cougar,1,0,47,47
skoda_karoq_2018,82,247,82,75,skoda,karoq,2018,skoda_karoq,2,0,161,160
mercedes-benz_cls-320_2006,173,371,167,163,mercedes-benz,cls-320,2006,mercedes-benz_cls-320,5,0,595,580
kia_soul_2014,102,258,102,97,kia,soul,2014,kia_soul,10,0,952,944
nissan_x-trail_2012,105,224,105,103,nissan,x-trail,2012,nissan_x-trail,17,0,1930,1918
volkswagen_passat-alltrack_2015,78,245,76,74,volkswagen,passat-alltrack,2015,volkswagen_passat-alltrack,7,0,648,634
mercedes-benz_v-220_2001,60,134,60,55,mercedes-benz,v-220,2001,mercedes-benz_v-220,18,12,524,516
audi_s4_2010,89,230,87,81,audi,s4,2010,audi_s4,15,1,1430,1398
mazda_2_2004,109,251,109,109,mazda,2,2004,mazda_2,16,0,1802,1780
fiat_doblo_2015,156,350,153,149,fiat,doblo,2015,fiat_doblo,18,0,2413,2381
mercedes-benz_s-63-amg_2017,124,295,121,107,mercedes-benz,s-63-amg,2017,mercedes-benz_s-63-amg,5,0,532,505
mercedes-benz_vito_2015,93,211,88,82,mercedes-benz,vito,2015,mercedes-benz_vito,18,0,1921,1886
mercedes-benz_gle-250_2018,78,224,77,76,mercedes-benz,gle-250,2018,mercedes-benz_gle-250,3,0,271,267
nissan_qashqai_2015,144,432,139,136,nissan,qashqai,2015,nissan_qashqai,12,0,1292,1272
bmw_m5_2012,111,255,109,108,bmw,m5,2012,bmw_m5,13,4,911,893
mini_cooper-sd-paceman_2014,97,239,95,92,mini,cooper-sd-paceman,2014,mini_cooper-sd-paceman,2,0,136,134
mercedes-benz_c-200_2003,101,213,100,98,mercedes-benz,c-200,2003,mercedes-benz_c-200,18,0,2382,2346
audi_q3_2015,100,289,99,96,audi,q3,2015,audi_q3,8,0,810,798
dacia_dokker_2017,94,210,92,91,dacia,dokker,2017,dacia_dokker,6,0,585,577
fiat_croma_2005,156,359,152,149,fiat,croma,2005,fiat_croma,7,0,705,692
audi_q7_2010,96,239,96,95,audi,q7,2010,audi_q7,13,0,1298,1281
suzuki_alto_2012,113,271,112,111,suzuki,alto,2012,suzuki_alto,14,2,1277,1266
porsche_cayman_2011,118,248,113,104,porsche,cayman,2011,porsche_cayman,13,0,1536,1499
bmw_550_2015,107,265,103,100,bmw,550,2015,bmw_550,8,0,839,823
renault_megane_2002,175,353,173,170,renault,megane,2002,renault_megane,18,0,2633,2596
lancia_delta_2015,18,49,18,17,lancia,delta,2015,lancia_delta,8,0,797,775
skoda_superb_2016,106,278,106,103,skoda,superb,2016,skoda_superb,16,0,1675,1654
audi_a5_2007,210,391,205,201,audi,a5,2007,audi_a5,12,0,1739,1702
suzuki_wagon-r+_2003,103,230,103,102,suzuki,wagon-r+,2003,suzuki_wagon-r+,6,0,683,677
volkswagen_golf-cabriolet_2014,108,255,106,104,volkswagen,golf-cabriolet,2014,volkswagen_golf-cabriolet,16,8,915,904
kia_pro_ceed_2016,95,203,94,89,kia,proceed,2016,kia_proceed,10,0,1061,1055
audi_a6_2014,83,222,81,79,audi,a6,2014,audi_a6,18,0,1590,1565
lancia_ypsilon_2005,109,257,108,105,lancia,ypsilon,2005,lancia_ypsilon,16,0,2206,2169
renault_grand-scenic_2011,166,409,166,164,renault,grand-scenic,2011,renault_grand-scenic,15,0,1710,1701
mini_cooper-d-countryman_2013,94,252,93,90,mini,cooper-d-countryman,2013,mini_cooper-d-countryman,9,0,1183,1166
volkswagen_phaeton_2009,86,224,86,85,volkswagen,phaeton,2009,volkswagen_phaeton,14,0,1320,1297
kia_carens_2009,86,214,85,79,kia,carens,2009,kia_carens,16,2,1544,1524
hyundai_ix35_2012,93,217,90,90,hyundai,ix35,2012,hyundai_ix35,7,0,814,802
audi_a3_2010,109,218,108,106,audi,a3,2010,audi_a3,18,1,1578,1548
peugeot_308_2012,101,200,101,98,peugeot,308,2012,peugeot_308,12,0,1414,1396
jeep_grand-cherokee_2001,121,266,119,114,jeep,grand-cherokee,2001,jeep_grand-cherokee,18,0,1980,1949
kia_venga_2017,97,243,95,94,kia,venga,2017,kia_venga,9,0,947,937
audi_s5_2015,110,235,108,101,audi,s5,2015,audi_s5,12,0,1420,1381
mini_cooper_2008,194,405,191,183,mini,cooper,2008,mini_cooper,18,0,2601,2552
renault_kadjar_2017,150,404,149,145,renault,kadjar,2017,renault_kadjar,4,0,546,538
audi_a4_2017,100,219,97,94,audi,a4,2017,audi_a4,18,0,1589,1549
smart_city-coupé%2fcity-cabrio_2004,111,213,107,97,smart,city-coupé%2fcity-cabrio,2004,smart_city-coupé%2fcity-cabrio,5,0,518,499
mercedes-benz_e-43-amg_2017,96,263,90,85,mercedes-benz,e-43-amg,2017,mercedes-benz_e-43-amg,2,0,183,175
ford_ranger_2015,181,405,178,169,ford,ranger,2015,ford_ranger,11,1,1282,1254
mg_tf_2005,82,142,81,81,mg,tf,2005,mg_tf,3,0,378,372
renault_modus_2009,145,333,143,139,renault,modus,2009,renault_modus,10,0,1076,1062
ford_focus_2014,105,267,102,100,ford,focus,2014,ford_focus,18,0,2346,2309
lexus_rx-450h_2015,110,270,104,99,lexus,rx-450h,2015,lexus_rx-450h,9,0,871,853
mercedes-benz_c-270_2005,80,152,79,77,mercedes-benz,c-270,2005,mercedes-benz_c-270,5,0,628,619
bmw_220_2018,152,384,149,142,bmw,220,2018,bmw_220,5,0,661,650
mazda_2_2017,104,270,103,100,mazda,2,2017,mazda_2,16,0,1802,1780
ford_transit-connect_2014,81,228,80,80,ford,transit-connect,2014,ford_transit-connect,15,0,1922,1887
opel_mokka_2013,99,241,99,97,opel,mokka,2013,opel_mokka,7,0,645,640
porsche_cayman_2012,89,179,87,71,porsche,cayman,2012,porsche_cayman,13,0,1536,1499
audi_s3_2018,84,239,84,78,audi,s3,2018,audi_s3,18,4,1654,1616
mitsubishi_asx_2016,103,235,102,101,mitsubishi,asx,2016,mitsubishi_asx,9,0,947,933
mercedes-benz_c-200_2002,183,368,181,177,mercedes-benz,c-200,2002,mercedes-benz_c-200,18,0,2382,2346
bmw_125_2018,60,202,57,52,bmw,125,2018,bmw_125,11,2,1076,1058
renault_trafic_2009,147,345,145,138,renault,trafic,2009,renault_trafic,16,0,1878,1845
hyundai_i20_2010,88,218,88,87,hyundai,i20,2010,hyundai_i20,10,0,1060,1052
mercedes-benz_e-500_2003,99,238,97,93,mercedes-benz,e-500,2003,mercedes-benz_e-500,13,6,716,704
mercedes-benz_clk-320_2007,165,353,162,158,mercedes-benz,clk-320,2007,mercedes-benz_clk-320,8,0,1083,1064
opel_tigra_2005,207,384,204,201,opel,tigra,2005,opel_tigra,7,0,1086,1071
volkswagen_golf-sportsvan_2015,93,267,93,91,volkswagen,golf-sportsvan,2015,volkswagen_golf-sportsvan,5,0,442,433
skoda_octavia_2012,87,221,86,83,skoda,octavia,2012,skoda_octavia,18,0,2297,2274
porsche_911_2008,118,267,114,107,porsche,911,2008,porsche_911,18,0,2167,2106
volkswagen_others_2001,115,243,112,108,volkswagen,others,2001,volkswagen_others,18,1,1845,1802
mercedes-benz_slk-200_2005,176,323,168,153,mercedes-benz,slk-200,2005,mercedes-benz_slk-200,15,0,2178,2119
honda_insight_2009,78,194,76,73,honda,insight,2009,honda_insight,3,0,269,265
ford_kuga_2009,105,273,104,102,ford,kuga,2009,ford_kuga,11,0,1023,1010
mercedes-benz_b-200_2014,92,240,89,89,mercedes-benz,b-200,2014,mercedes-benz_b-200,14,0,1457,1426
mercedes-benz_gl-350_2011,132,296,130,130,mercedes-benz,gl-350,2011,mercedes-benz_gl-350,6,0,659,654
skoda_octavia_2008,198,429,196,193,skoda,octavia,2008,skoda_octavia,18,0,2297,2274
mercedes-benz_c-63-amg_2013,100,270,98,96,mercedes-benz,c-63-amg,2013,mercedes-benz_c-63-amg,11,0,1271,1240
bmw_650_2006,113,202,105,98,bmw,650,2006,bmw_650,10,2,888,868
renault_grand-scenic_2009,156,405,156,155,renault,grand-scenic,2009,renault_grand-scenic,15,0,1710,1701
